2026-02-10 09:52:39 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: AAPL 4주 @ 69269.20 (수수료: 692.69)
2026-02-10 09:52:39 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: AAPL 4주 @ 69130.80 (수수료: 691.31)
2026-02-10 09:52:39 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: AAPL 4주 @ 69269.20 (수수료: 692.69)
2026-02-10 09:52:39 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: AAPL 4주 @ 69130.80 (수수료: 691.31)
2026-02-10 09:52:39 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: AAPL 4주 @ 69269.20 (수수료: 692.69)
2026-02-10 09:52:39 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: AAPL 4주 @ 69130.80 (수수료: 691.31)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: 005930 433주 @ 69269.20 (수수료: 4499.03)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: 005930 433주 @ 69130.80 (수수료: 4490.05)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: 005930 433주 @ 69269.20 (수수료: 4499.03)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: 005930 433주 @ 69130.80 (수수료: 4490.05)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: 005930 433주 @ 69269.20 (수수료: 4499.03)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: 005930 433주 @ 69130.80 (수수료: 4490.05)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: 005930 433주 @ 69269.20 (수수료: 4499.03)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: 005930 433주 @ 69130.80 (수수료: 4490.05)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: 005930 433주 @ 69269.20 (수수료: 4499.03)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: 005930 433주 @ 69130.80 (수수료: 4490.05)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: 005930 433주 @ 69269.20 (수수료: 4499.03)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: 005930 433주 @ 69130.80 (수수료: 4490.05)
